标题：资金股票
营业部名称：华泰证券(243)
股东：鸣石量化20号
资金余额：1481829.72 	 可取金额：1481829.72
冻结金额：0.00 	 股票市值：12450866.55
可用余额：1481829.72 	 总 资 产：13937637.54

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	保本价	市价	盈亏比()	盈亏	市值	交易市场	股东帐户	在途数量	
000933	神火股份	100	100	0	4.131	4.185	4.200	0.36	1.472	420.000	深圳Ａ	0899185080	0	
000936	华西股份	2800	2800	0	12.341	12.356	13.400	8.45	2920.926	37520.000	深圳Ａ	0899185080	0	
000938	紫光股份	200	200	0	43.538	43.607	42.110	-3.44	-299.190	8422.000	深圳Ａ	0899185080	0	
000959	首钢股份	2600	2600	0	4.506	4.513	4.520	0.17	19.413	11752.000	深圳Ａ	0899185080	0	
000961	中南建设	100	100	0	8.282	8.341	8.520	2.17	17.931	852.000	深圳Ａ	0899185080	0	
000967	盈峰环境	800	800	0	8.089	8.104	8.310	2.55	165.019	6648.000	深圳Ａ	0899185080	0	
000976	华铁股份	500	500	0	1.822	1.834	5.320	191.14	1741.287	2660.000	深圳Ａ	0899185080	0	
000988	华工科技	100	100	0	23.794	23.868	23.800	-0.29	-6.828	2380.000	深圳Ａ	0899185080	0	
002007	华兰生物	700	700	0	40.504	40.553	48.010	18.39	5214.544	33607.000	深圳Ａ	0899185080	0	
002019	亿帆医药	200	200	0	22.004	22.051	22.970	4.17	183.514	4594.000	深圳Ａ	0899185080	0	
002022	科华生物	600	600	0	17.373	17.399	17.400	0.01	0.551	10440.000	深圳Ａ	0899185080	0	
002025	航天电器	100	100	0	28.705	28.784	32.230	11.99	344.213	3223.000	深圳Ａ	0899185080	0	
002027	分众传媒	800	800	0	5.098	5.109	5.190	1.58	64.365	4152.000	深圳Ａ	0899185080	0	
002030	达安基因	3200	3200	0	26.515	26.546	26.580	0.13	107.634	85056.000	深圳Ａ	0899185080	0	
002036	联创电子	600	600	0	11.387	11.407	12.250	7.40	505.303	7350.000	深圳Ａ	0899185080	0	
002038	双鹭药业	100	100	0	11.952	12.014	12.300	2.39	28.545	1230.000	深圳Ａ	0899185080	0	
002042	华孚时尚	100	100	0	6.511	6.568	6.290	-4.26	-27.742	629.000	深圳Ａ	0899185080	0	
002044	美年健康	100	100	0	12.612	12.675	12.860	1.47	18.488	1286.000	深圳Ａ	0899185080	0	
