冻结金额,可用,参考市值,资产
,5478329.0,,88106921.81
,,,
证券代码,证券名称,可用数量,库存数量,参考成本,参考盈亏,市值,当前价
300644,南京聚隆,0,500,36.5224,178.82,18440.0,36.88
300645,正元智慧,0,100,16.6503,-29.03,1636.0,16.36
300647,超频三,0,10200,11.4658,5551.34,122502.0,12.01
300648,星云股份,500,500,23.6369,3526.55,15345.0,30.69
300650,太龙照明,0,100,18.6648,183.52,2050.0,20.5
300654,世纪天鸿,900,900,10.8705,-180.47,9603.0,10.67
300660,江苏雷利,0,400,20.84,19.99,8356.0,20.89
300661,圣邦股份,200,200,311.7571,-5321.42,57030.0,285.15
300662,科锐国际,0,200,66.9919,83.63,13482.0,67.41
300663,科蓝软件,0,100,31.8057,-16.57,3164.0,31.64
300665,飞鹿股份,0,300,11.9877,153.68,3750.0,12.5
300667,必创科技,0,400,23.2745,90.19,9400.0,23.5
300668,杰恩设计,100,100,18.1736,-13.36,1804.0,18.04
300670,大烨智能,0,600,8.0869,-22.12,4830.0,8.05
300671,富满电子,0,1200,40.0715,26146.17,74232.0,61.86
300673,佩蒂股份,0,100,42.1368,-56.68,4157.0,41.57
