更新时间        委托时间        委托编号        委托标识        证券代码        交易业务        委托数量        成交数量        撤单数量        委托价格        成交金额                执行状态        执行信息
15:07:34.690    11:18:20.022    205356288       22678           002338          700 担保品买入  200             0               0               28.5700         0.0000                  废单            可用金额不足，可用金额3690.550 ，预留金额10.000，实际申请使用 5714.970
15:07:34.690    11:18:25.135    213356042       22682           002022          700 担保品买入  800             0               0               17.3800         0.0000                  废单            可用金额不足，可用金额9045.280 ，预留金额10.000，实际申请使用 13906.370
15:07:34.690    11:18:25.219    229357679       22684           600834          700 担保品买入  1000            0               0               12.1500         0.0000                  废单            可用金额不足，可用金额6188.790 ，预留金额10.000，实际申请使用 12152.060
15:07:34.690    11:18:25.332    205356291       22686           300677          700 担保品买入  100             0               0               111.9400        0.0000                  废单            可用金额不足，可用金额7770.940 ，预留金额10.000，实际申请使用 11195.900
15:07:34.690    11:18:25.417    217352443       22687           300206          700 担保品买入  200             0               0               17.7600         0.0000                  废单            可用金额不足，可用金额1915.940 ，预留金额10.000，实际申请使用 3552.600
15:07:34.690    11:18:30.531    233351028       22690           000009          700 担保品买入  300             0               0               7.7400          0.0000                  废单            可用金额不足，可用金额1915.940 ，预留金额10.000，实际申请使用 2322.400
15:07:34.690    11:18:30.531    237357939       22691           002022          700 担保品买入  1000            0               0               17.3900         0.0000                  废单            可用金额不足，可用金额1915.940 ，预留金额10.000，实际申请使用 17392.960
15:07:34.690    11:18:30.616    229357688       22693           600834          700 担保品买入  1600            0               0               12.1600         0.0000                  废单            可用金额不足，可用金额1915.940 ，预留金额10.000，实际申请使用 19459.310
15:07:34.691    11:18:30.732    237357940       22694           300624          700 担保品买入  200             0               0               67.5000         0.0000                  废单            可用金额不足，可用金额4289.150 ，预留金额10.000，实际申请使用 13502.300
15:07:34.691    11:18:36.033    237357943       22702           300677          700 担保品买入  600             0               0               111.9000        0.0000                  废单            可用金额不足，可用金额7891.030 ，预留金额10.000，实际申请使用 67151.410
15:07:34.691    11:18:36.121    201348994       22704           300206          700 担保品买入  700             0               0               17.7700         0.0000                  废单            可用金额不足，可用金额9473.180 ，预留金额10.000，实际申请使用 12441.120
15:07:34.691    11:18:36.120    237357944       22703           600233          700 担保品买入  600             0               0               16.3700         0.0000                  废单            可用金额不足，可用金额9473.180 ，预留金额10.000，实际申请使用 9823.670
15:07:34.691    11:18:36.230    217352463       22706           300233          700 担保品买入  200             0               0               30.9500         0.0000                  废单            可用金额不足，可用金额2563.000 ，预留金额10.000，实际申请使用 6191.050
